i_event,id_x,id_y,id_z,v_x,v_y,v_z
129048,529.5454545454545,347.3636363636364,0,-2.863636363636374,13.590909090909093,1
129049,529.5,347.5,0,-2.875,13.625,1
129055,561.5,324.5,2,3.0,0.0,1
129056,561.6363636363636,324.45454545454544,2,2.9220779220779605,0.45454545454543904,1
129064,478.0,331.0,1,1.8888888888889142,3.6666666666666856,1
129065,527.1176470588235,247.41176470588235,2,-8.882352941176464,10.24509803921569,1
129066,589.7,245.3,2,41.700000000000045,26.077777777777783,1
129067,653.0,294.5,0,28.0,0.375,1
129076,507.2857142857143,312.0,1,1.085714285714289,2.5,1
129077,507.2857142857143,312.0,1,1.085714285714289,2.5,1
129079,692.25,228.0,0,37.8125,-16.25,1
129080,692.4,227.8,0,37.849999999999994,-16.299999999999997,1
129082,558.7142857142857,325.0,2,10.547619047619037,43.333333333333314,1
129083,559.0,325.0,2,9.950000000000045,39.05000000000001,1
129100,520.2857142857143,327.0,0,-5.178571428571416,8.5,1
129104,591.1818181818181,339.1818181818182,1,1.5454545454545041,5.636363636363626,1
129105,591.2,339.2,1,1.5636363636364194,5.654545454545428,1
129111,442.61538461538464,488.61538461538464,1,-12.09890109890108,32.11538461538464,1
129144,923.0,492.2,2,44.285714285714334,35.69999999999999,1
129145,923.0,492.2,2,44.285714285714334,35.69999999999999,1
129155,558.5,324.5,1,2.1000000000000227,0.30000000000001137,1
129156,558.7142857142857,324.0,1,2.5892857142856656,-0.125,1
129164,476.1111111111111,327.3333333333333,0,-16.22222222222223,8.583333333333329,1
129165,536.0,237.16666666666666,1,-13.888888888888914,11.5,1
129166,548.0,219.22222222222223,1,-1.8571428571428896,-6.492063492063494,1
129176,506.2,309.5,0,-8.700000000000003,4.125,1
129177,506.2,309.5,0,-8.700000000000003,4.125,1
129182,548.1666666666666,281.6666666666667,2,1.7291666666666288,-12.520833333333314,1
129183,549.05,285.95,2,2.365789473684117,-9.68157894736845,1
129204,589.6363636363636,333.54545454545456,0,12.159090909090907,10.13636363636364,1
129205,589.6363636363636,333.54545454545456,0,12.159090909090907,10.13636363636364,1
129211,454.7142857142857,456.5,0,-21.57142857142857,40.875,1
129220,562.1111111111111,316.3333333333333,2,-0.6388888888889142,-2.3333333333333712,1
129221,562.125,316.375,2,-0.6022727272727479,-2.261363636363626,1
129244,878.7142857142857,456.5,1,46.623376623376544,28.136363636363626,1
129245,878.7142857142857,456.5,1,46.623376623376544,28.136363636363626,1
129255,556.4,324.2,0,3.8499999999999943,7.799999999999997,1
129256,556.125,324.125,0,3.78125,7.78125,1
129265,549.8888888888889,225.66666666666666,0,2.2222222222222285,-16.833333333333336,1
129266,549.8571428571429,225.71428571428572,0,2.2142857142857224,-16.82142857142857,1
129282,546.4375,294.1875,1,10.9375,25.38749999999999,1
